1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 9552 6.29 6.48 6.53 1.63 0.95 0.54 0.34 0.25 "ATI Mobility Radeon HD 4300 Series"
1002 9553 9.59 9.55 6.60 1.58 1.09 0.62 0.39 0.27 "ATI Mobility Radeon HD 4500/5100 Series"
1002 9555 7.65 7.86 4.34 1.97 1.16 0.65 0.42 0.30 "ATI Mobility Radeon HD 4300/4500 Series"
1002 9581 10.17 10.66 7.11 1.78 0.79 0.48 0.31 0.20 "ATI Mobility Radeon HD 2600"
1002 9583 14.24 14.52 4.61 2.43 1.42 0.79 0.53 0.40 "ATI Mobility Radeon HD 2600 XT"
1002 9586 16.79 17.32 11.58 2.89 1.51 0.77 0.49 0.36 "ATI Radeon HD 2600 XT AGP"
1002 9587 13.75 13.89 9.31 2.32 1.35 0.76 0.51 0.38 "ATI Radeon HD 2600/3600 Series"
1002 9588 16.69 17.28 11.60 2.86 1.69 0.94 0.63 0.47 "ATI Radeon HD 2600 XT"
1002 9589 12.38 12.83 8.55 2.14 1.12 0.57 0.37 0.27 "ATI Radeon HD 2600 PRO"
1002 958C 16.95 17.30 11.65 2.91 1.64 0.92 0.62 0.46 "ATI FireGL V5600"
1002 9591 12.27 12.50 8.40 2.08 1.21 0.68 0.46 0.34 "ATI Mobility Radeon HD 3650"
1002 9593 14.07 14.42 9.68 2.42 1.42 0.79 0.53 0.39 "ATI Mobility Radeon HD 3670"
1002 9598 15.20 15.57 10.43 2.60 1.57 0.86 0.58 0.43 "ATI Radeon HD 3600 Series"
1002 95C0 5.37 5.46 6.53 1.37 0.71 0.35 0.23 0.17 "ATI Radeon HD 3470 (Microsoft Corporation WDDM 1.1)"
1002 95C2 2.07 3.21 4.18 0.95 0.48 0.27 0.18 0.14 "ATI Mobility Radeon HD 3430"
1002 95C4 3.51 3.61 6.35 1.07 0.53 0.30 0.20 0.15 "ATI Mobility Radeon HD 3400 Series"
1002 95C5 2.10 4.31 4.23 1.14 0.56 0.29 0.18 0.13 "ATI Radeon HD 3400 Series"
1002 95C6 4.18 4.30 5.46 1.05 0.62 0.35 0.24 0.18 "ASUS AH3450 Series"
1002 9610 3.50 3.60 4.46 1.03 0.52 0.29 0.20 0.15 "ATI Radeon HD 3200 Graphics"
1002 9611 2.43 2.50 2.29 0.56 0.32 0.16 0.10 0.08 "ATI Radeon 3100 Graphics"
1002 9612 2.22 1.57 2.27 0.54 0.30 0.18 0.13 0.11 "ATI Radeon HD 3200 Graphics"
1002 9613 2.39 2.50 3.94 0.64 0.32 0.16 0.11 0.08 "ATI Radeon 3100 Graphics"
1002 9616 2.39 2.50 4.51 0.74 0.37 0.21 0.14 0.11 "ATI Radeon 3000 Graphics"
1002 9640 66.25 68.99 23.63 5.88 4.54 2.35 1.47 1.02 "AMD Radeon HD 6550D"
1002 9641 16.16 18.94 7.78 1.93 1.33 0.68 0.44 0.30 "AMD Radeon HD 6620G"
1002 9647 20.24 22.80 11.41 2.83 1.53 0.79 0.51 0.35 "AMD Radeon(TM) HD 6520G"
1002 9710 2.76 1.46 2.59 0.50 0.29 0.17 0.13 0.10 "ATI Radeon HD 4200"
1002 9712 2.15 1.47 2.55 0.52 0.28 0.18 0.12 0.10 "ATI Mobility Radeon HD 4200 Series"
1002 9715 4.92 5.05 7.89 1.50 0.75 0.42 0.28 0.22 "ATI Radeon HD 4250"
1002 9802 6.15 6.98 5.70 1.28 0.95 0.51 0.33 0.25 "AMD Radeon HD 6300 series Graphics"
1002 9804 3.84 3.96 3.94 0.76 0.53 0.28 0.18 0.12 "AMD Radeon HD 6200 series Graphics"
10DE 0045 0.99 9.89 20.72 1.96 1.34 0.89 0.66 0.52 "NVIDIA GeForce 6800 GT"
10DE 0091 1.72 19.12 25.41 3.60 2.47 1.63 1.23 1.00 "NVIDIA GeForce 7800 GTX"
10DE 0092 1.44 14.96 23.89 2.83 2.04 1.41 1.20 0.98 "NVIDIA GeForce 7800 GT"
10DE 00C0 1.00 8.99 18.72 1.78 1.28 0.89 0.75 0.62 "NVIDIA GeForce 6800 GS"
10DE 00C1 0.76 6.84 9.54 1.35 0.92 0.60 0.46 0.37 "NVIDIA GeForce 6800"
10DE 00C3 0.60 4.53 9.23 1.43 0.83 0.49 0.35 0.28 "NVIDIA GeForce 6800 XT (Microsoft Corporation - WDDM)"
10DE 00F1 0.71 7.11 7.42 1.39 0.95 0.62 0.46 0.37 "NVIDIA GeForce 6600 GT"
10DE 00F6 0.66 4.95 10.30 0.98 0.71 0.49 0.42 0.34 "NVIDIA GeForce 6800 GS/XT"
10DE 0140 0.71 7.08 7.39 1.40 0.95 0.62 0.47 0.38 "NVIDIA GeForce 6600 GT"
10DE 0141 0.42 4.25 4.44 0.84 0.57 0.38 0.29 0.23 "NVIDIA GeForce 6600"
10DE 0147 0.74 7.42 7.70 1.46 1.00 0.66 0.50 0.40 "NVIDIA GeForce 6700 XL"
10DE 0148 0.52 5.28 5.48 1.03 0.70 0.46 0.30 0.29 "NVIDIA GeForce Go 6600"
10DE 0161 0.50 2.48 2.09 0.48 0.34 0.23 0.19 0.16 "NVIDIA GeForce 6200 TurboCache(TM)"
10DE 0162 0.50 2.48 1.60 0.40 0.33 0.21 0.16 0.13 "NVIDIA GeForce 6200SE TurboCache(TM)"
10DE 0167 0.42 2.11 2.20 0.42 0.29 0.19 0.14 0.12 "NVIDIA GeForce Go 6200"
10DE 016A 0.50 2.48 2.58 0.49 0.35 0.24 0.20 0.17 "NVIDIA GeForce 7100 GS"
10DE 0191 26.90 37.61 50.69 12.68 10.01 5.67 4.03 2.99 "NVIDIA GeForce 8800 GTX"
10DE 0193 20.66 29.48 37.43 9.40 7.79 4.41 3.13 2.33 "NVIDIA GeForce 8800 GTS"
10DE 0194 30.04 42.77 57.09 14.20 11.41 6.39 4.50 3.37 "NVIDIA GeForce 8800 Ultra"
10DE 019E 27.88 39.63 52.32 13.08 10.43 5.87 4.14 3.09 "NVIDIA Quadro FX 4600"
10DE 01D1 0.64 3.23 3.09 0.63 0.43 0.28 0.22 0.17 "NVIDIA GeForce 7300 LE"
10DE 01D3 0.42 1.62 1.77 0.32 0.23 0.16 0.13 0.11 "NVIDIA GeForce 7300 SE/7200 GS"
10DE 01D7 0.49 2.51 3.11 0.76 0.45 0.27 0.19 0.15 "NVIDIA GeForce Go 7300"
10DE 01D8 0.63 3.22 4.06 1.00 0.58 0.34 0.24 0.19 "NVIDIA GeForce Go 7400"
10DE 01DC 0.63 3.22 2.94 0.63 0.43 0.28 0.21 0.17 "NVIDIA Quadro FX 350M"
10DE 01DD 0.63 3.22 3.30 0.83 0.62 0.38 0.30 0.24 "NVIDIA GeForce 7500 LE"
10DE 01DF 0.56 2.88 2.40 0.60 0.50 0.28 0.22 0.16 "NVIDIA GeForce 7300 GS"
10DE 0221 0.50 2.48 2.59 0.49 0.33 0.22 0.17 0.14 "NVIDIA GeForce 6200"
10DE 0240 0.22 1.67 2.56 0.32 0.22 0.16 0.13 0.11 "NVIDIA GeForce 6150"
10DE 0241 0.20 1.50 2.79 0.28 0.19 0.13 0.10 0.08 "NVIDIA GeForce 6150 LE"
10DE 0242 0.20 1.50 3.02 0.29 0.20 0.13 0.10 0.08 "NVIDIA GeForce 6100"
10DE 0247 0.20 1.49 1.97 0.29 0.20 0.13 0.10 0.08 "NVIDIA GeForce Go 6100"
10DE 0290 2.59 28.62 36.15 5.37 3.85 2.68 2.26 1.86 "NVIDIA GeForce 7900 GTX"
10DE 0291 2.58 28.64 36.17 8.07 5.15 3.23 2.62 2.10 "NVIDIA GeForce 7900 GT/GTO"
10DE 0292 1.53 16.61 25.20 5.00 2.90 1.71 1.23 0.97 "NVIDIA GeForce 7900 GS"
10DE 0295 2.07 24.24 30.51 6.91 4.48 2.80 2.21 1.81 "NVIDIA GeForce 7950 GT"
10DE 0297 2.11 25.41 32.12 7.15 4.31 2.54 1.84 1.46 "NVIDIA GeForce Go 7950 GTX"
10DE 0298 1.97 22.09 33.43 3.78 2.48 1.58 1.14 0.90 "NVIDIA GeForce Go 7900 GS"
10DE 0299 1.84 22.17 28.04 3.78 2.49 1.59 1.14 0.90 "NVIDIA Quadro NVS 510M"
10DE 029A 1.85 22.11 27.18 4.16 2.85 1.88 1.38 1.15 "NVIDIA Quadro FX 2500M"
10DE 029B 1.48 16.61 25.12 3.14 2.15 1.41 1.07 0.87 "NVIDIA Quadro FX 1500M"
10DE 029D 1.53 16.61 25.16 4.98 3.11 1.93 1.58 1.25 "NVIDIA Quadro FX 3500"
10DE 02E0 1.34 12.73 25.29 2.39 1.71 1.19 1.01 0.83 "NVIDIA GeForce 7600 GT (Microsoft Corporation - WDDM)"
10DE 02E1 0.94 8.87 17.60 1.43 0.84 0.50 0.36 0.28 "NVIDIA GeForce 7600 GS"
10DE 02E2 0.75 5.92 11.80 1.12 0.80 0.56 0.47 0.39 "NVIDIA GeForce 7300 GT"
10DE 0312 0.15 0.57 2.39 0.51 0.27 0.14 0.09 0.00 "NVIDIA GeForce FX 5600"
10DE 0332 0.55 2.67 5.75 1.41 0.71 0.38 0.24 0.00 "NVIDIA GeForce FX 5900XT"
10DE 0390 1.05 9.96 19.83 1.85 1.30 0.91 0.76 0.63 "NVIDIA GeForce 7650 GS"
10DE 0391 1.31 12.44 24.72 3.73 2.14 1.26 0.91 0.72 "NVIDIA GeForce 7600 GT"
10DE 0392 0.94 8.86 17.69 1.65 1.17 0.81 0.69 0.56 "NVIDIA GeForce 7600 GS"
10DE 0393 0.90 6.69 11.72 1.32 0.86 0.49 0.37 0.29 "NVIDIA GeForce 7300 GT"
10DE 0397 1.05 9.97 19.85 2.93 1.68 0.99 0.72 0.57 "NVIDIA GeForce Go 7700"
10DE 0398 1.04 6.57 12.84 1.21 0.81 0.53 0.40 0.33 "NVIDIA GeForce Go 7600"
10DE 03D0 0.20 1.50 3.12 0.30 0.20 0.13 0.10 0.08 "NVIDIA GeForce 6150SE nForce 430"
10DE 03D6 0.20 1.51 3.14 0.29 0.20 0.13 0.10 0.08 "NVIDIA GeForce 7025 / NVIDIA nForce 630a"
10DE 0400 7.23 15.42 18.85 4.70 2.97 1.67 1.18 0.88 "NVIDIA GeForce 8600 GTS"
10DE 0401 5.93 12.51 10.68 2.52 2.09 1.30 0.93 0.70 "NVIDIA GeForce 8600 GT"
10DE 0402 4.71 10.00 12.17 2.84 2.00 1.17 0.83 0.62 "NVIDIA GeForce 8600 GT"
10DE 0403 2.96 6.29 7.91 1.75 1.15 0.67 0.48 0.35 "NVIDIA GeForce 8600 GS"
10DE 0405 4.69 10.02 9.93 2.35 1.84 1.14 0.81 0.61 "NVIDIA GeForce 9500M GS"
10DE 0407 4.64 9.86 12.38 3.03 2.04 1.16 0.81 0.61 "NVIDIA GeForce 8600M GT"
10DE 0409 6.16 13.16 16.41 3.92 2.67 1.53 1.09 0.81 "NVIDIA GeForce 8700M GT"
10DE 040B 2.71 5.80 7.48 1.74 1.19 0.68 0.48 0.36 "NVIDIA Quadro NVS 320M"
10DE 040C 4.68 5.76 13.88 3.25 2.10 1.18 0.83 0.62 "NVIDIA Quadro FX 570M"
10DE 040D 6.19 13.19 17.14 4.04 2.34 1.54 1.16 0.88 "NVIDIA Quadro FX 1600M"
10DE 040F 4.59 9.71 9.79 2.32 1.85 1.13 0.80 0.60 "NVIDIA Quadro FX 1700"
10DE 0410 18.59 39.24 28.07 6.88 5.67 3.49 2.52 1.88 "NVIDIA GeForce GT 330"
10DE 0421 3.93 8.30 8.78 1.40 1.25 0.74 0.52 0.39 "NVIDIA GeForce 8500 GT"
10DE 0422 2.30 4.86 3.57 0.83 0.72 0.50 0.37 0.28 "NVIDIA GeForce 8400 GS"
